keyword,google,Annotation
útlendingurinn,the foreigner,1
flóttamannastraumur,refugee flow,1
flóttamaðurinn,the refugee,1
flóttamanninum,the refugee,1
flóttamannaaðstoðar,refugee assistance,1
olíuútflytjandi,oil exporter,0
innflutningsaðilinn,the importer,0
flóttamannsins,refugee,1
innflytjendurnir,the immigrants,1
kántríflytjandi,country performer,0
brotamaður,offender,0
innflytenda,immigrants,1
flytjandi,performer,0
fréttaflytjandi,reporter,0
Núbíumaður,Nubian,0
innflytjendurSorg,immigrantsSorrow,1
Lamaður,Paralyzed,0
flóttabörn,refugee children,1
innflyta,import,0
innflytj,import,0
viðskiptamaður,customer,0
hælisleitandi,asylum seeker,1
flóttamannahjálp,refugee assistance,1
flytjanleg,portable,0
flóttbát,escape boat,0
flóttamaður,refugee,1
flóttamannaaðstoð,refugee assistance,1
flóttabarna,refugee children,1
innflytjendum,immigrants,1
flótta-,refugee,1
tónlisarflytjandinn,the music performer,0
flytjanlegur,portable,0
flóttamanna,refugees,1
innflytarum,immigrants,1
amtamaður,official,0
Líbýumaður,Libyan,0
innflytjanda,importer,1
Erítreumaður,Eritrean,0
innflytjendagettói,immigrant ghetto,1
flóttamanns,refugee,1
flóttamannastofnun,refugee agency,1
flóttamanna-,refugee,1
flóttaátt,flight direction,0
Útlendingur,A foreigner,1
ektamaður,husband,0
útlendingur,foreigner,1
flóttamann,refugee,1
flóttamannakrísan,the refugee crisis,1
innflytarar,immigrants,1
útflytjandi,exporter,0
flóttamenn19.,refugees19.,0
Innflytjandi,Importer,0
farmflytjandi,carrier,0
flóttamanninn,the refugee,1
þrotamaður,bankrupt,0
flóttamannabúðir,refugee camps,1
Fyrirmyndarveruleikaflóttamaður,Exemplary reality refugee,1
innflutningsaðili,importer,0
áb.maður,abb.ma_ur,0
innflytendur,immigrants,1
Flóttamaðu,Escape,0
innflytjenda-,immigrant,1
flóttamannakrísuna,the refugee crisis,1
flóttamannabúðanna,the refugee camps,1
flóttamannabúðum,refugee camps,1
Kántríflytjandi,Country performer,0
innflytjenda,immigrants,1
innflytjndur,immigrants,1
útflytjanda,exporter,0
tollstjóri,director of customs,0
báxítútflytjandi,bauxite exporter,0
listflytjandi,performer,0
Flóttamaðurinn,The refugee,1
Innflytjandinn,The immigrant,1
afbrotamaður,offender,0
sáttamaður,conciliator,0
innflytjendur,immigrants,1
flytjandinn,the performer,0
Farmflytjandi,Carrier,0
flóttamannahjálpar,refugee assistance,1
Smáglæpamaður,A petty criminal,0
síbrotamaður,perpetrator,0
Djandoubi,Djandoubi,0
Innflytjanda,Importer,0
vöruinnflytjenda,importers of goods,0
innflytendum,immigrants,1
innflytjandann,the immigrant,1
landflóttamaður,refugee,1
flóttamanni,refugee,1
flóttamannabúða,refugee camps,1
málflytjandi,litigant,0
Flóttamaður,Refugee,1
Farmflytjanda,Carrier,0
flóttamannabúðunum,the refugee camp,1
farmflytjanda,carrier,0
flóttamenn,refugees,1
innflytjendaþema,immigration theme,1
flóttakona,refugee,1
innflytjandinn,the importer,0